id,hora_inicio,hora_fin,nota
34384,24 de mayo de 2021  13:09,24 de mayo de 2021  13:11,100
30064,24 de mayo de 2021  13:18,24 de mayo de 2021  13:19,100
34465,24 de mayo de 2021  13:25,24 de mayo de 2021  13:26,100
34102,24 de mayo de 2021  13:28,24 de mayo de 2021  13:29,60
34102,24 de mayo de 2021  13:29,24 de mayo de 2021  13:30,100
33327,24 de mayo de 2021  13:39,24 de mayo de 2021  13:40,100
33870,24 de mayo de 2021  13:43,24 de mayo de 2021  13:43,60
33110,24 de mayo de 2021  13:49,24 de mayo de 2021  13:50,100
32355,24 de mayo de 2021  13:52,24 de mayo de 2021  13:53,100
32231,24 de mayo de 2021  13:52,24 de mayo de 2021  13:53,100
32965,24 de mayo de 2021  14:13,24 de mayo de 2021  14:14,60
26859,24 de mayo de 2021  14:46,24 de mayo de 2021  14:48,60
32721,24 de mayo de 2021  15:31,24 de mayo de 2021  15:32,100
34350,24 de mayo de 2021  15:32,24 de mayo de 2021  15:32,100
32404,24 de mayo de 2021  15:35,24 de mayo de 2021  15:37,100
32280,24 de mayo de 2021  15:37,24 de mayo de 2021  15:38,100
32184,24 de mayo de 2021  15:45,24 de mayo de 2021  15:46,60
33468,24 de mayo de 2021  15:46,24 de mayo de 2021  15:47,100
17571,24 de mayo de 2021  15:54,24 de mayo de 2021  15:56,60
32410,24 de mayo de 2021  16:06,24 de mayo de 2021  16:07,100
32225,24 de mayo de 2021  17:36,24 de mayo de 2021  17:39,40
32225,24 de mayo de 2021  17:41,25 de mayo de 2021  10:36,100
33420,24 de mayo de 2021  18:13,24 de mayo de 2021  18:20,60
33405,24 de mayo de 2021  18:28,24 de mayo de 2021  18:29,60
29419,24 de mayo de 2021  18:57,24 de mayo de 2021  19:05,100
32579,24 de mayo de 2021  22:07,24 de mayo de 2021  22:12,20
32579,24 de mayo de 2021  22:12,24 de mayo de 2021  22:15,100
29859,24 de mayo de 2021  22:13,24 de mayo de 2021  22:14,60
26228,24 de mayo de 2021  22:19,24 de mayo de 2021  22:20,20
26505,24 de mayo de 2021  22:20,24 de mayo de 2021  22:21,100
26228,24 de mayo de 2021  22:21,24 de mayo de 2021  22:22,60
32450,24 de mayo de 2021  22:22,24 de mayo de 2021  22:23,60
26228,24 de mayo de 2021  22:22,24 de mayo de 2021  22:23,80
30062,24 de mayo de 2021  22:23,24 de mayo de 2021  22:24,60
32765,24 de mayo de 2021  22:23,24 de mayo de 2021  22:25,40
26228,24 de mayo de 2021  22:23,24 de mayo de 2021  22:24,100
32477,24 de mayo de 2021  22:28,24 de mayo de 2021  22:29,100
34387,24 de mayo de 2021  22:39,24 de mayo de 2021  22:40,100
30298,24 de mayo de 2021  22:45,24 de mayo de 2021  22:47,100
12290,24 de mayo de 2021  22:52,24 de mayo de 2021  22:53,100
32826,24 de mayo de 2021  22:55,24 de mayo de 2021  22:56,100
29281,24 de mayo de 2021  22:58,24 de mayo de 2021  22:59,100
34901,24 de mayo de 2021  23:13,24 de mayo de 2021  23:14,100
28346,24 de mayo de 2021  23:16,24 de mayo de 2021  23:18,60
28346,24 de mayo de 2021  23:19,24 de mayo de 2021  23:19,100
34484,24 de mayo de 2021  23:19,24 de mayo de 2021  23:20,100
33870,24 de mayo de 2021  23:23,24 de mayo de 2021  23:23,100
32475,24 de mayo de 2021  23:30,24 de mayo de 2021  23:32,100
32668,24 de mayo de 2021  23:34,24 de mayo de 2021  23:35,60
32668,24 de mayo de 2021  23:35,24 de mayo de 2021  23:36,100
34239,24 de mayo de 2021  23:36,24 de mayo de 2021  23:39,100
34028,24 de mayo de 2021  23:39,24 de mayo de 2021  23:43,100
34226,24 de mayo de 2021  23:47,24 de mayo de 2021  23:48,100
35277,24 de mayo de 2021  23:49,24 de mayo de 2021  23:52,20
35221,25 de mayo de 2021  00:02,25 de mayo de 2021  00:03,100
